data_date,value,indicator,source_name,source_url,source_code,collected_at,note
2026-02-21,+9.8%,SCFI freight proxy,PoC logistics proxy,https://en.sse.net.cn/indices/scfinew.jsp,SCFI proxy,2026-05-28T09:00:00+09:00,Proxy data. Used only as early warning simulation; not official historical SCFI pull.
2026-02-20,72.75,Brent crude oil auxiliary logistics signal,FRED - Federal Reserve Bank of St. Louis / EIA,https://fred.stlouisfed.org/series/DCOILBRENTEU,DCOILBRENTEU,2026-05-28T09:00:00+09:00,Official data.
